단어,불용어,dff
몰려들어갔어요,,
무쳐지지,,
맛이있긴한데,,
조금많이,,
맛하나는,,
그런데로,,
치킨데이,,
적은거같았어용,,
인스타랑,,
유튜브광고해서,,
맛입니당,,
맵네요~아주,,
익었나,,
있긴했지만..,,
입니당ㅋ,,
빨ㄹㅣ왓고,,
닭얼굴이,,
식겁했습니다,,
간지먹엇는데,,
좀짠듯,,
담에다른거시켜서먹어보려구요,,
양념에서,,
한방,,
나네용?!,,
긴것,,
최고....배달은,,
옆동내라,,
걸릴수,,
음슴,,
후라이드를좋아하지않는1인으로,,
후라이드는맛있습니다,,
혀를쓰라리게하는아픔이,,
기분좋은매운맛이,,
한개먹고,,
안먹음요,,
오다,,
구르셨나?걱정들게,,
만들만큼,,
봉투안에,,
똥칠하듯,,
범벅이되어,,
뻣뻣함.,,
씹고,,
이가탄,,
40년,,
복용하지,,
않으신,,
"없음,",,
탔음...,,
다타고,,
뻣뻣해지고,,
골판지,,
식감이었음.,,
남의,,
영업장,,
망치게,,
싶지도,,
구찮아서,,
안쓰려고,,
영업장마다,,
맛있어요^^기름은깔끔한듯한대,,
후추가좀많아요~,,
얼얼하게,,
손이가는!,,
반갈아,,
않아요..,,
3명이먹어도,,
부족하지않았어요,,
먹구시포용ㅋ,,
싼데,,
해유,,
2천원싸던가?,,
프차가,,
여기만의,,
서두,,
마시써유,,
싶은분은,,
딱이유,,
처음시켜먹어보는데,,
괜찮았습니다~,,
일반치킨과,,
믿고먹을수,,
장점이겠죠,,
정직하게,,
부분육에,,
양념카테고리,,
만들어주세요ㅜㅜ,,
전화해주신것도,,
갬동입니더,,
☆*:.?.,,
o(?▽?)o,,
.?.:*☆,,
첨으로성공,,
잘먹었어요~고추가많이있지는않네요,,
매운거좋아하면매운맛으로주문하세요~배달친절했어요,,
살도별로없고,,
양도작고,,
너무맛있어요ㅎㅎ,,
또시켜먹을께용,,
치킨이예요!,,
주문햇거든여?,,
반면,,
그다지더군여,,
두치킨모두,,
스며들진않아서,,
별루였습니다,,
퍽퍽했고요,,
나왓습니다..,,
뼈라니,,
불쾌하더군여,,
딱딱햇습니다...,,
맛잇다고하여,,
적은거같앗고...,,
실망이네용,,
너무많이해서그런가..,,
퍽살싫은데,,
왔고.배달도,,
걸렸음,,
아까웠고,,
꽝였음,,
시켜먹기,,
싫었음,,
좋아요오,,
너무늦었구요.치킨은,,
쩔은맛이,,
크리으피보다,,
초초초강츤,,
강추♡,,
역시군,,
먹었습니당~~~~,,
세상에...,,
1시간을,,
놓은건지,,
온기는,,
좋앗습니다.,,
500원추가해서,,
소스는오지않았습니다.,,
거리도있고,,
500원땜에,,
재배달시키기,,
전화하지는않았습니다,,
주문시에는,,
이런일없었으면좋겠습니다,,
음..장스는,,
비렸다고해야하나..,,
치킨으로..!,,
굵고,,
눌러붙는,,
완전별로예요,,
다른지..,,
대행기사,,
개수가,,
비어있었는데,,
아이들도잘먹긴하는데,,
간지치킨이조금,,
어른들이좋아하네요,,
풍부해요,,
혹시ㅜ뭐,,
고민되시는,,
시켜보세요!!,,
베스트베스트,,
친절하시고!!,,
시켜먹을꺼예요!!,,
스럽습니다,,
무제인지,,
별로좋지,,
지나서왓는데,,
"차갑고,",,
양도..그래도,,
칠리양념치키은,,
너무맛있네요~^^배달만일찍오면완전짱인듯!!영자님광고하는거보구시켜봤는데역쉬!!!,,
자주시켜먹는데는,,
그만한이유가,,
맛있어요~~~~~~~~~~~~~~~~따듯합니다,,
번이나,,
리뷰를ㅋㅋ항상,,
시켜봤눈데,,
두마리시켰는데,,
두마리가,,
반반주시는,,
거였네요,,
치면,,
이런적은,,
처음^^;;,,
적당히들어있어서,,
순삭해써,,
>_<!!!,,
그대로인듯한데,,
작아졌나,,
느낀건가ㅋㅋ,,
박스가커졌나...,,
더많은게,,
좋은뎅,,
있구용^^,,
맛있어용~~^.^,,
0igyihvㅡ스슺,,
가게중에,,
맛있은,,
부탁요.,,
80분으로,,
넘맛있어요.강추합니다,,
찍은거긴,,
"한데요,",,
식어있다는,,
아쉽더군요,,
오시는,,
가정식,,
치킨느낌이라고,,
기본템으로,,
양엄청,,
적어보였는데,,
막상먹으니까,,
추측되는,,
맞겠지?,,
칸막이가,,
"아래,",,
새어,,
들어갈수,,
구조더라구요.,,
그런거겠지요?,,
퀄리티를,,
높여서,,
느껴지기도,,
했지만요ㅋ,,
싼편이고,,
비번,,
메모한거,,
안하시고,,
먹어볼게요ㅋ,,
배달늦으면,,
미리말하고,,
사과를먼저해야죠?,,
이름만으로,,
맵기를,,
가늠할수,,
상상하고,,
매웠어요..,,
피하세요~,,
원래먹던치킨에서,,
갈아탈정도네요,,
가다리는데,,
오지안네요,,
껍질이.바삭한게아니라,,
ㅈ탁딱,,
좋았슴.,,
살이딱딱하게,,
밋있어요.,,
많이느리고,,
덜튀겨진,,
상태로와서,,
먹다말았네요...,,
안타깝네요ㅜ,,
잘먹더라고요,,
오래된거튀긴건지,,
튀긴거튀긴건지,,
남겻네요..배달음식이라도맛과위생에,,
다학주시기바랍니다.,,
이영자아줌마가너무맛있게먹어서기대하고주문했는데~,,
실망스러웠어요~ㅠㅠ,,
너무튀겨서딱딱하고,,
닭이좀,,
오래된듯한느낌이들었어요,,
좀아쉬웠어요~~~,,
야도,,
되요!,,
빨리와서좋네요~~~,,
맛있었구욥~!또시킬거에용!,,
바삭하지는,,
않아요~~,,
실망이예요,,
오래걸려요~,,
바림들은,,
무우,,
버석했어요,,
무우도,,
욕심부려서,,
먼데까지,,
배달하지,,
왔어요-,,
오랜만이네요..,,
맛있었이요,,
만족스러워서,,
맛있을것같습니다,,
배달이좀느리지만,,
초과된,,
1시간25분째에,,
굳어가는,,
상태!!!,,
통화한,,
내용으로,,
출발된,,
경유,,
루트,,
끝이었는지,,
쓰지만,,
형편없어,,
지는건,,
상태보다도,,
배달과정이라,,
싶어지지,,
끝부분이,,
웬만해선,,
굿둣,,
너무짜요!양은,,
좋았겠습니다,,
빠진것,,
푸석해요,,
시켜봤네요ㅎ,,
넣어뒀는데,,
묻혀있지,,
수분이없는,,
오래된듯해요,,
맛은좋음데,,
조리맛꺼지,,
죽이는것같아요,,
중요한데,,
오래된듯한,,
질이..,,
왓어요!,,
정신을...,,
잃을,,
간지치킨....,,
이래요?,,
자작한,,
싱겁고...,,
바뀌는,,
실망이에요.,,
주셨어도,,
더매운고추치킨...전,,
나아요.,,
고추씨랑,,
다시먹어봐야겠어요,,
적게들어있었음...,,
줄어든건지,,
25부분???,,
너무맙고,,
중간으로도,,
해주낭요?,,
감자도맛남,,
오래튀긴건지,,
오래된걸보낸건지,,
맛있어요~치밥볼도,,
시키고싶은데,,
등록,,
부탁드립니다!!!!!,,
음......선전만,,
시킨것이,,
기대많이했는데..,,
났어요ㅠㅠ,,
다안익혀오고,,
조각조각..,,
마지막이겠어요,,
사이즈.,,
있는.,,
6초치킨이라,,
매워잉,,
맛남뼈바를시간없어요걍,,
순살6초치킨으로,,
악소리나게,,
도전해보삼,,
맛은있었으나,,
배달빨리오고,,
맛도좋아요ㅋ,,
??????????????????,,
맛있다60계,,
티나서,,
덜매워졌네요,,
더매워도좋은데,,
좋아습니다.,,
잘먹네요~~~,,
상상이상이였지만,,
요기요치킨쿠폰,,
데이로,,
포화상태로,,
애쓰시는거,,
배달지연,,
이해되더라구요,,
맛있게먹었구요,,
염지에,,
언제오나요?,,
예상했지만,,
안오는군요,,
취소가,,
되었다든지,,
너무하군요,,
작성하라니...,,
가끼이,,
항상시켜,,
맛진짜,,
처음인것,,
같네요ㆍ,,
덜빠져서,,
주방장이,,
오래된걸,,
쓴거지,,
쉣이네요ㆍ,,
오늘부로,,
끝났어요ㆍ사장님,,
바빠도,,
장사는,,
하는겁니다ㆍ,,
꼽게,,
특히요,,
여기만시켜먹는데,,
너무맵지않고,,
달았음,,
그것빼면,,
고추씨,,
누룽지인가,,
다른지점것도,,
그랬던것같진않은데,,
배달도20분늦고,,
양념도ㅜ상한맛이나고,,
너무별로네요..,,
1시간30분동안,,
어금니,,
나가는줄.,,
모르는데,,
덜어간것처럼,,
적었고요,,
먹어봤구요.,,
서글서글,,
맛있죵??????,,
시켜요~~ㅎㅎ,,
걷어내고,,
"먹었네요,,,ㅎㅎㅎ",,
정말매운거,,
잘드시는분만,,
같더라구요~,,
오래되보이는닭에,,
잘못튀겨서,,
이영지가,,
CF찍었을때랑,,
거희남겼어요,,
많은닭집중에,,
최악...다시는안먹을것같니여,,
또먹고싶어요:),,
간도아주적당하고,,
아주맛납니다요,,
별로네요..후라이드시켰는데,,
기름때문인지,,
출발했는지도,,
횡설수설에,,
반마리시킨건가...?,,
확인했어요,,
처음먹는것도,,
치킨먹을거면,,
이걸그시간에,,
왜먹고있나,,
뱃속에,,
기분이었습니다,,
어딜시켜도,,
양도많았는데,,
튀기신건지,,
모르겠습니다^^,,
배달료내고,,
늦게늦게,,
받아보고싶은,,
찰떡일듯,,
닭의크기가,,
너무작아,,
적음듯해요.,,
만족해요~맛있네요~~~,,
안오네요...,,
너무오래걸러요,,
다른지점과는달리,,
순살이먹지못할정도로너무딱딱하고,,
양도터무니없이적네요!!,,
다조은데,,
만원치곤양이,,
모레집이없어서,,
그랬나....,,
시킬려구요,,
못한것같아요.,,
부드러운데,,
진절,,
맛은있습니다,,
좀느린감이,,
*^^*,,
주문해봤고,,
주문뒤에,,
영자님이,,
했다는,,
이거뭐....,,
양녕은.그냥그렇네요.,,
맛짱ㅇ배달짱,,
고추치킨맛있어요.쫌더,,
드러가면좋을듯,,
먹었던거랑,,
달랐어요~매콤한맛이,,
아주덜했고,,
좋았을듯요.그에반해,,
너무매워요ㅠㅠ,,
배달빠르고밋나네요좋아요,,
안맞네요.,,
"90분,,,먹다남은",,
"치킨가져왔는줄,,,맛은",,
"눅눅하고,,치킨",,
시켜먹은것중,,
"최악이네요,,이영자가",,
"개실망,,",,
호날두,,
품질도,,
전에보다,,
조만하고,,
차갑다,,
밀리면,,
같아야지,,
60계라는데,,
300마리,,
같구나,,
후라이드는별로지만,,
양념은굿,,
불매중인데,,
찾은것,,
완벽했어요!!!,,
아~~~똥집은,,
사악하다는거!!,,
생닭집서,,
똥집사본,,
아실듯ㅋㅋ,,
시간은왜이리,,
오래걸리는지,,
자주시커먹는덴데,,
저번에도태우듯가지고오시더니이번에도태우듯가지고오셨네요후라이드인지간장치킨인지모르겠네요,,
초등이,,
비오니까,,
시커먹는데요,,
튀겨져서....,,
먹었어요...오늘,,
실망시키지않는맛,,
빠삭하면서두,,
부드러운맛과,,
단ㆍ짠ㆍ고소함의,,
어우러짐,,
짱입니다♥,,
닭도작고,,
이맛이군요ㅎㅎ,,
다음은뼈닭하는걸로,,
좋네요^^잘먹었습니다,,
내스타일은아님,,
잘안남,,
놀람,,
왜고추치킨인지,,
매운거드실거면,,
딴거드세요,,
봤습니다,,
고추&후라이드,,
취향저격입니다,,
맛있더라고요...,,
오독오독씹히는게,,
이거만먹음,,
맛잇게먹엇어요ㅠㅜ,,
첫번째는,,
나쁜,,
평하고,,
편인데요.,,
땡깁니다.,,
자주먹을듯...배달이,,
커버해줍니다,,
느려요ㅠㅠㅠㅠ,,
더매운걸로,,
5시간에,,
불편합니다,,
보상,,
안주신가요,,
영자누님,,
맛있네유!!!!!!!!!!,,
닭집인듯,,
딱한시간,,
맾기는,,
타제품과,,
차별화되있는거,,
같네요!!,,
35분이상,,
일찍왔는데...,,
니맛도,,
내맛도,,
대실망입니다,,
작두로,,
이런느낌일듯,,
개매움,,
가족주고,,
씹는맛이좋네여,,
깔끔할,,
왜60계,,
60계하는지,,
알것같은,,
맛요.,,
엄니두,,
여기꺼라면,,
맛난더고,,
드셔요~,,
냄새났어요.,,
맞추신거라면,,
컸을까요,,
아닌데...,,
진짜.너무,,
피냄새,,
고기냄새,,
예민해서....,,
실망했어요....,,
사진무관,,
매워요ㅠ,,
따갑게,,
별로였어요ㅜㅜㅜㅠㅠ,,
같지만ㅋㅋㅋㅋ,,
오징어맛,,
정말맜나고배달도친절,,
많아용~고추치킨중에,,
젤맛있는것,,
흔들렸어요,,
다새서,,
먹었어여ㅕㅕ,,
나네요~~^^,,
비주얼~,,
감동~,,
주다니?,,
똑똑하기는....,,
시킬려고,,
준비중요^^,,
타입이,,
뻑뻑합니다,,
매워용ㅎㅎ잘먹었습니당,,
아니에요!!!,,
났어요;;;;,,
간지치킨...빠른배송.,,
신규,,
맛있죠ㅎㅎ,,
간지치킨ㅋㅋㅋ,,
좋아용??????,,
이사전까지,,
욜씨미,,
시켜먹어야겠어요.,,
탓일까,,
영자님효과인거,,
밀려왔네요,,
낫지만?,,
맛있엇어요!,,
맛있어유??,,
와!!진짜,,
맛있어여!!!!!완전,,
먹었습니다!!!!맛있는,,
맛있어요♥♥♥♥♥♥,,
해결했어요.,,
배달료까지,,
넘던데..페이코,,
등록해서,,
그정도면,,
좋아요.맛나요,,
진짜똥튀랑빠삭이는제스타일입니다!,,
아여윽시,,
짱맛♡♡♡♡♡♡,,
너무맜있네영,,
괜잖네요...다음에,,
개꿀맛??????,,
숨어있는,,
사장님♥?,,
짱짱bb,,
배달도넘빠르고맛나게잘먹엇습니다~^^,,
다섯번째,,
주문인가,,
보네요.,,
계(?)는감추듯,,
치우네요~~,,
배달좋고,,
일찍왔네용,,
가게가ㅜ바뻐,,
주문오래걸렸는데,,
빠삭이는,,
뿌려져있는듯한,,
맛났었구요.,,
갈릴것,,
특별하진않고,,
슬~올라오는,,
치킨사이에,,
15-20분은,,
꾸르맛~~ㅋㅋ고추치킨도,,
안매운대,,
떠오르는맛집이에요,,
짱맛요~~^,,
맛있을일인가요?,,
몰랐을까요?,,
후회했어요?,,
시킬꺼에요ㅎㅎ,,
bhc밖에,,
이정도퀄이면,,
시켜달라네요~~^^,,
맛이ㅛ다,,
ㅇㅇㅇㅇㅇㅇ,,
짜증났어요.,,
맛있네요.번성하세요.,,
맛보구,,
칠리는,,
생각한맛이,,
아니네여,,
있습니다~!,,
먹었습니다~!^^,,
기대안하고먹었는데,,
짱짱종하요,,
맛잇어요자주시켜먹으려구요,,
"많았어요.,",,
옛날양념맛,,
구우웃!!!,,
굿맛이지만,,
마늘형이랄까,,
맵,,
2번째간지,,
아쉽기는,,
하지만ㅋ,,
*????*:.?..?.:*?'(*?▽?*)'?*:.?.,,
.?.:*????*,,
맛있네요????,,
계산이,,
연락해서,,
계좌번호까지,,
가르쳐,,
입금이,,
되지가,,
주세요~!,,
"리뷰,",,
교*,,
나은것,,
같아요~!^^,,
맛잇엇슺니다.,,
삘이,,
꽂힐만한맛은,,
아니규..,,
먹기좋앗슺니다,,
배달엄청빨리왔어요!,,
색다른맛이네요,,
금욜밤이라,,
병맥이라함께,,
한시간걸린다고했는데,,
25분만에왔네요,,
음..광고보다..맛은,,
그닦...그래도,,
하네요...,,
영자씨,,
쥑여서..배달했는데...,,
고추가너무작고...짜요,,
맛있어요??????,,
맛있어용~~~~빨라용,,
치킨튀김옷이,,
거뭇거뭇해서,,
ㅇ60계,,
되네여ㅋ,,
60계치킨만먹으려구요!!!,,
맵네영,,
좋아하시는분들에게,,
추천이여^^,,
교X,,
말라있네요...턱아파요...,,
그렇겠죠.,,
간지+6초치킨,,
그랫는지,,
안베어,,
있더라구요ㅜㅜ,,
극악으로,,
아니네영ㅎㅎ그래도,,
장스윙봉세트주문하려고,,
좀더넣으면,,
맛있었을덴데요,,
굿~~~요,,
하세여~~~^^!!,,
배달되어왔네요ㅠ,,
남아있죠?,,
맛잇서요요용ㅎㅌ료ㅛ요요룔,,
좋단,,
애기겠지요,,
안좋으시면,,
불편할듯,,
아숩다,,
소스시켰는데안와서전화했는데바쁘다고지금가따줘야되냐고하네요;;,,
먹었는데..아이,,
맛더라고요.,,
좋았구요~^^,,
먹겠네,,
...........,,
정말잘먹었고진짜맛있네요,,
못찍었지만...정말맛있어요,,
처음사켜봤는데,,
많은거같아요!,,
뭐시킬까,,
고민하시는,,
시키세요.....!!,,
기대한바로,,
먹음감자도있음,,
짱입니당????????????,,
제입맛이랑,,
잘맛네요,,
후라이드~만,,
깔끔하고맛좋아요,,
기대를하고,,
참신하고,,
푸짐하다!,,
적당하다?,,
~^^배달무척빨라요,,
나타났다,,
해주던,,
그통닭맛,,
튀겨주던,,
그맛..,,
너무잘,,
짭쪼름허니,,
시켜먹게되네요~,,
시켜먹을듯요~,,
맛나요~^^b,,
배달앱이,,
영수증의주소가,,
잘못되어있네요,,
주문내역과,,
다른주소인데다,,
결제한걸,,
안했다며,,
결제해달라는게..,,
다른사람이,,
주문했다,,
취소한걸,,
준건가여???,,
치킨시켰다가,,
첨인듯,,
보았는데.,,
가겠습니다,,
적다고해서,,
적지않아요ㅎ,,
단짠단짠이네요,,
식은건가요?,,
진짜맛나요,,
먹었습니다.얼른,,
품절된,,
복구되어,,
최애치킨메뉴를,,
주문해보길,,
응원합니다.,,
도착하구요..,,
하게되네요ㅋ,,
아쉽네여ㅎ,,
친절하시네요~,,
"반,",,
주문했었어요,,
50~60분으로,,
뜨기야,,
많나보다,,
개의치,,
걸리기도,,
있네요ㅋ,,
일듯ㅋ,,
먹었어요~~치킨을,,
불편하지,,
매콤의,,
했나봐요ㅠ,,
처음먹었을때보다,,
맛있어지네욥,,
되네요~~^^,,
먹었어요~~!!!!,,
컸어요,,
와주셔,,
덜한것같아요ㅜ,,
안보이고,,
절여놓은,,
듯했고,,
와버렸어요ㅠㅠ,,
시켜먹을때에는,,
안그랬음,,
좋겠네요ㅠㅠ,,
굽네볼케이노.뿌링클,,
동시,,
먼거리임에도,,
먹을듯^^,,
90분이라고해서,,
6초치칙(?)인가,,
시키게도ㅑ요,,
짭짤달콤,,
먹어보고싶네여,,
맛나요♡♡,,
별로였어요...,,
단짠맵짠단,,
또시킬게요^^77,,
사먹는맛..이영자가,,
CF찍어서,,
괜찮겠거니,,
공짜줘도,,
안먹음요..6살,,
치킨매니아임에도,,
안먹음ㅡㅡ,,
빨리되었음,,
들어가있어,,
짱맛있,,
마니나요,,
아가들이나,,
외국분들,,
조리방법이,,
별루..너무,,
기대했나봐요,,
이번엔굿!!!!!!!!,,
B**,,
배달해주셨으면,,
닭가슴살이죠?????????????,,
옳음!!!,,
줄어드는듯,,
없어짐..튀김겉은,,
되네요...,,
굿입니다...,,
........짱!,,
만족요,,
1인1닭했네요,,
ㄷ스??ㄱ?ㅋㅈㅇㄷㅅㄷ부,,
왜캐,,
눅눅.....,,
처음은,,
신세계였는데...,,
아쉬움이.,,
오래걸리네요^^;;;.,,
좋은데요^^,,
뜯었습니당~~,,
골고루안묻고,,
날이추워그런지,,
식었구,,
닭냄새안나고,,
완전????????,,
참맛을,,
느꼈어요.,,
배달주문이,,
몰렸는지,,
늦으신,,
신경써주시는,,
감동이었어요~~,,
너무늦더라구요ㅜ,,
맛나게먹었지만요ㅋ,,
"장갑,",,
"젓가락,",,
완벽하네요!!,,
80분이었는데말이죠,,
비틀어진,,
"빈약하고,",,
얹히겠어요,,
질기네요...,,
좋았던만큼,,
속상해요..,,
좋앗음.개취,,
"늦었고,",,
바석하게,,
못만드나?,,
에휴~,,
빠르다고,,
자주시켜먹을게요~,,
시켜먹으며,,
느꼈는데,,
괜찮네요?,,
주신분도,,
얇냐면,,
꼬리처럼,,
달려있는게,,
닭고기만,,
홍보할,,
홍보하나,,
아니었음.,,
누군가는,,
취향일지,,
모르니,,
시켜보시길...,,
쩌들지,,
맛있는치킨??,,
ㅊㅓ음에는,,
배달되었는데,,
좀시간이,,
흐르니,,
보통수준,,
카레향도,,
플로스,,
어니언,,
비닐장갑도,,
뜯어,,
다른지점보다...덜,,
매웠어요..고추치킨인데ㅠㅠ,,
"맛,양은",,
교촌치킨과비슷한,,
윙과봉으로,,
부분에,,
눅눅해지는거,,
넘므넘므,,
싸고..,,
공짜...ㄷㄷ,,
많이.없고,,
닭먹을땐,,
60계로!!,,
반반은처음먹어보는대,,
저한테는간지가더맛있네요ㅎ,,
고추치킨도맛있어요,,
갠적인취향이에요,,
벨눌르지말고,,
전화달라고,,
벨눌르셔서,,
재우느라,,
치킨먹엇네요,,
역시!후회절대,,
없네요ㅎㅎ,,
좋아라해서;;,,
교촌이네요.,,
나오는줄,,
가루라니,,
바쁘신가보네요,,
덜익혔어요.,,
잘부탁드려요.,,
쵝오래요~~~,,
다음날먹어도,,
오~60계치킨,,
맛나네요~~~,,
시킬듯~,,
ㅋ.,,
달고짜요,,
머글만햇어요,,
배달주소에현관비번.,,
적어놧는데..,,
비번몰라서,,
밖에서기다렷단다ㅡㅡ폰도안가져오시고,,
육십계에서,,
비번적어주셔야겟어요,,
배달너무늦어요,,
텐더였네요,,
배달늦어서,,
짜증날무렵,,
기분풀렸어요,,
인기메뉴로,,
맛나더라구용,,
왕친절하셨어요,,
맛있는데요ㅎㅎ,,
애용하겠늡니다^^,,
소문처럼,,
굿잡입니다,,
가나다라마바사아자차카,,
마싯쪄영,,
간장누룽지맛,,
새로워용,,
조카와,,
먹었대요^^,,
맛나요반반이짱임요!!!!,,
몇호닭이길래,,
많나요ㅋ,,
잘드시는분,,
추천해용,,
탄것같구,,
맛있어요~~번창하셔요,,
딱맞아요!!,,
연락드렸더니,,
먹어야겠단,,
궁금해졌음ㅋㅋ,,
다른치킨집에,,
맛나긴해요,,
오~~~~~넘,,
짜지두,,
내스타일~~,,
얼얼~,,
60계~~~ㅋㅋ,,
간지였어요,,
몇일을,,
넣어놓고,,
맛있음ㅋㅋ고추도,,
무난했고요.,,
식어있네요.........아,,
정말.........,,
또시킵니다,,
좋아함요,,
두마리인줄,,
1마리인거,,
두마리치고,,
준대요,,
중요한가요..?,,
머리카락나왔는데,,
먹을수있냐라는,,
듣고선,,
환불해줄거냐고,,
따질걸,,
감사하네요,,
쉣뻑임....야들살,,
닭이신선해요,,
더맛있는거같아요,,
배달오시는분도,,
넘친절하시구,,
ㅎㅎ맛나요,,
맛은있는데...좀,,
느끼세요,,
기대이상이네요..60계,,
이름답게,,
같고요..잘먹었습니다,,
늘고,,
알겠네요..양념,,
아쉬었어요..,,
딱딱했달까,,
간지순살은,,
배달받은건,,
만드는분이,,
달랐나요?ㅜㅜ,,
만육천짜리가,,
넘없고,,
적고..,,
쓰나요?,,
할인데이,,
받으건,,
아니겠죠.,,
망쳐,,
안시키게,,
만듬ㅠㅠ,,
오래걸리구,,
식어서왔어요..,,
콜라대신,,
치킨무로,,
바꿔달랬는데,,
못보신거같아요,,
맛있을거같아요!!,,
좋았어여ㅎㅎ단골예약입니다ㅎㅎ,,
저번도,,
듬뿍주셨네용ㅎㅎ,,
위장은,,
터질것같은데,,
입에서는,,
계속먹으라고,,
한다고ㅋㅋㅋㅋㅋ마요소스에,,
"어울리고,",,
코카콜라입니다♡,,
바쁜시간대라ㅜㅜ...,,
느껴지는건,,
어쩔수없는것같아요ㅜ가성비가,,
떨어지지만,,
장땡이져ㅋㅋ,,
추가하기!,,
맛있어요ㅜㅜㅜㅜㅜ,,
감탄중ㅜㅜㅜ,,
까탈스러운,,
드셔보세여,,
깨끗한것같은데,,
얇은주제에,,
난리ㅜㅜㅜ너무,,
좋앙ㅜ,,
입이짧은,,
먹더라구요!,,
마요소스..진짜,,
진리...이거,,
적었다고,,
오래걸리지는,,
전화주시는,,
친절함..,,
좋았습니당ㅎㅎ,,
(ps.,,
피자랑,,
환상),,
아이들잘먹네요~^^,,
재주문할고예요,,
음식.,,
양념맛중에,,
뒷끝깔끔한,,
어마무시~^^,,
~:),,
"첨이고,",,
땡기는데다,,
후기까지,,
양념이네요.,,
ㅎㅎㅋ,,
둘이먹었는데,,
할인까지~!!,,
딱딱!!!,,
자른,,
튀기니,,
다먹지,,
남겼다니,,
싸이드,,
걍~먹었네요,,
안시킬꺼,,
같네요ㅠㅠ,,
하셔야겠어요~,,
비추비추!!!,,
맛있어요~배달,,
맛있습니다!!ㅎㅎ,,
"즐겁고,",,
보냈습니다!,,
받으세요:),,
떡뽁이,,
가족들과맛있게,,
감사헤요~~,,
좋아하셨습니다^^,,
기존후라이드치킨과는,,
튀김이네요,,
미쳤나봐여~~~♡♡♡,,
배달앱리뷰,,
처음써보는데,,
바삭바삭..소스는,,
3가지다,,
하나도빠짐없이,,
다맛남,,
배달봉투에,,
담겼다는말이,,
맞는말임,,
작아졌네요,,
찍었어요..ㅎㅎ,,
사징님도,,
쓰다가,,
적어용ㅎㅎ,,
"비오는날도아니고,",,
"눈오늘날도아니고,축구하는날도",,
치킨배달이,,
한시간반이나걸리네요~~기본배달예정시간은,,
50분을,,
한시간반으로,,
바꾸시듼가요,,
눅눅..하네요,,
진심ㅡㅡ,,
기분나빠서,,
"먹긴했습니다만,",,
50분정도여서,,
오래걸린적은,,
"없는데,",,
도착후에,,
안남겨줘서,,
오고나서,,
비에,,
젖고,,
빗물,,
다묻어있었습니다.,,
구멍사이로도,,
들어왔을겁니다.,,
제로로,,
일반콜라,,
보내신걸보면,,
변경이안되는거겠죠?,,
말씀이라도해주셨으면,,
좋았을거같네요.,,
가게운영하시는데,,
"실수있을거라생각하지만,",,
많은부분이,,
문제가있는거같네요.,,
배달빠르고맛있습니다,,
매워봤자...,,
신기했습니다.,,
엄청.,,
45분걸린다고,,
왔네요.또,,
구매할께요~^^,,
잘먹었습니다..맛있어요~~,,
치밥이,,
유행인지,,
저학년의,,
관찮다며,,
늦게잡히긴,,
더바사삭,,
오래기다림,,
배달시간보다ㅜ20분이상,,
쫄깃쫄깃하고,,
기본맛으로,,
매콤짭짤,,
청양고추도있고,,
참여^^~,,
잊었네요...ㅠ,,
역시!네요,,
추가주문까지,,
모자르다는,,
결론에,,
이르고있네요.,,
맛있게부탁드려요~,,
안되고좋네요,,
느끼하지도않고,,
맛좋네요,,
그저그럼.,,
기다림.,,
늦는다는,,
지연에,,
없었음.,,
배달하러,,
기사님들도,,
답답하신지,,
나오냐고,,
물어보심.,,
ㅋㅋㅋ치킨맛있네요,,
태풍이,,
온다고하는데...,,
라이더님들,,
안전운전하세요!,,
내껀데...,,
바짝튀긴,,
시간지나도,,
6개를,,
"온건데,",,
"고약한데,",,
튀겨둔거,,
안먹은,,
이러합니다.,,
연락준다고,,
시키시고,,
다리6개는,,
튀겨쥬셔서,,
크크크보다,,
같은.,,
두근두근하네요~~!!!,,
맛있어요?소스가,,
끝내줍니다?,,
먹고있어요~~^^,,
요즘가격치곤,,
괞춘,,
됨.,,
"그렇고,",,
과대광고였내요,,
뼈치킨이랑,,
있네요.순살이라고,,
자녀가,,
황당해,,
"순살주문한건데,",,
추가요금,,
지불하며,,
왜시킬까요?,,
맛잇어요~~~~ㅎㅎ,,
많이나고,,
궁금합니다,,
먹어본다는게,,
비우고서야,,
딸과,,
2틀3일에,,
맛들려,,
주문요~~정말,,
맛있어요~~!진짜요!근데,,
아니네요~~ㅜㅜ완전,,
먹었어요..똥집,,
크크치킨까지ㅜ,,
똥집과멘보샤,,
"첨먹었는데...,문앞두고",,
되있었고요...초인종은,,
아니지만...덕분에,,
다식은걸,,
먹었네요..왜이리,,
안오지?,,
너무안오는데,,
혹시나하는맘에,,
와있네요..진짜,,
글안쓰는데,,
씁니다..맛은,,
바삭거려서,,
처음시켜봤는데맛있었어요,,
많나요.?,,
끝없이,,
치킨이..,,
힘든게,,
잊혀질정도로,,
조심하세요,,
나왔는지,,
크크크순살치킨,,
배달예상시간보다ㅡ훨씬늦었네요,,
치킨브랜드!!,,
땀나는,,
닭다를,,
자르니까,,
있어요..뼈조각이,,
씹혀요ㅠㅠㅠㅠㅠㅠㅠㅠ반으로,,
자르면서,,
분해되는것,,
같은데.....,,
하....진짜,,
맘놓고,,
못할정도로,,
조각난게,,
나와요..,,
뼛조각,,
투입,,
작은뼛조각,,
씹히고...먹는게,,
