"동별(1)","항목",2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4
"동별(1)","항목",합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"도봉구","등록외국인",2393,49,52,26,91,414,371,310,262,196,157,182,136,89,35,15,4,1,2,1,0,0,2546,53,51,25,138,447,383,328,274,200,167,181,148,89,38,15,4,2,2,1,-,-
"노원구","계",504423,10861,16092,21657,26359,34930,34066,32417,29600,37014,39684,47255,39296,39808,33507,22435,16993,12936,6590,2306,533,84,502925,10677,15857,21455,26015,34607,33968,32498,29449,37003,38898,47068,39758,39250,34042,22592,17158,12981,6680,2351,533,85
"노원구","한국인",499989,10804,16033,21628,26171,33811,33110,31877,29213,36747,39459,47055,39108,39698,33444,22411,16980,12931,6587,2306,532,84,498213,10622,15803,21427,25745,33328,32973,31961,29061,36722,38679,46871,39570,39142,33975,22567,17146,12976,6677,2351,532,85
"노원구","등록외국인",4434,57,59,29,188,1119,956,540,387,267,225,200,188,110,63,24,13,5,3,0,1,0,4712,55,54,28,270,1279,995,537,388,281,219,197,188,108,67,25,12,5,3,-,1,-
"은평구","계",471155,10338,14500,17006,18984,26143,36705,36219,31039,36513,35028,41754,36283,37823,31309,22025,17601,13364,6255,1822,384,60,470869,10219,14227,16871,18865,26041,36504,36562,30883,36484,34500,41748,36756,37392,31812,22102,17815,13369,6406,1855,401,57
"은평구","한국인",467098,10256,14413,16940,18863,25874,36253,35687,30490,36080,34727,41428,35944,37583,31172,21968,17570,13348,6242,1818,382,60,466770,10135,14139,16807,18732,25747,36048,36022,30331,36047,34194,41421,36416,37166,31678,22049,17786,13352,6393,1851,399,57
"은평구","등록외국인",4057,82,87,66,121,269,452,532,549,433,301,326,339,240,137,57,31,16,13,4,2,0,4099,84,88,64,133,294,456,540,552,437,306,327,340,226,134,53,29,17,13,4,2,-
"서대문구","계",321379,7556,10593,10922,12224,26752,30328,25169,21762,23824,21940,26498,23081,23098,18780,13006,10855,8839,4413,1384,295,60,320629,7420,10348,10858,12173,26578,30161,25304,21714,23703,21695,26407,23318,22837,19082,13019,10860,8864,4502,1425,297,64
"서대문구","한국인",307441,7476,10427,10748,11637,21900,27114,23905,20962,23166,21485,26043,22703,22771,18544,12873,10783,8793,4386,1375,292,58,306231,7339,10184,10689,11434,21425,27007,24012,20895,23039,21214,25955,22938,22512,18849,12887,10789,8817,4474,1416,294,62
"서대문구","등록외국인",13938,80,166,174,587,4852,3214,1264,800,658,455,455,378,327,236,133,72,46,27,9,3,2,14398,81,164,169,739,5153,3154,1292,819,664,481,452,380,325,233,132,71,47,28,9,3,2
"마포구","계",375639,9012,12243,12977,14350,26415,38202,36014,29950,30577,27907,31434,25101,23995,18886,13023,10747,8648,4339,1462,302,55,375162,8856,12152,12858,14264,26089,38099,36301,29906,30594,27562,31405,25475,23706,19131,13069,10815,8655,4375,1483,315,52
"마포구","한국인",364257,8861,12035,12801,13981,23654,35674,34548,29013,29835,27416,30996,24692,23694,18692,12905,10703,8617,4329,1458,301,52,363697,8692,11936,12677,13798,23274,35626,34825,28982,29868,27066,30967,25067,23415,18942,12955,10772,8625,4366,1479,315,50
"마포구","등록외국인",11382,151,208,176,369,2761,2528,1466,937,742,491,438,409,301,194,118,44,31,10,4,1,3,11465,164,216,181,466,2815,2473,1476,924,726,496,438,408,291,189,114,43,30,9,4,-,2
"양천구","계",440591,9230,16614,23611,24399,24616,28889,27952,26305,35935,37602,41056,34434,34528,28514,19101,13029,8620,4166,1574,348,68,439252,9043,16456,23472,24391,24264,28726,27840,26012,35964,37171,40812,34738,34046,28910,19189,13292,8676,4218,1615,350,67
"양천구","한국인",437401,9184,16546,23550,24335,24481,28576,27595,25876,35626,37308,40716,34056,34324,28406,19054,13007,8617,4160,1570,348,66,436028,8991,16388,23414,24320,24108,28416,27490,25582,35658,36875,40464,34359,33837,28804,19142,13269,8673,4212,1611,350,65
"양천구","등록외국인",3190,46,68,61,64,135,313,357,429,309,294,340,378,204,108,47,22,3,6,4,0,2,3224,52,68,58,71,156,310,350,430,306,296,348,379,209,106,47,23,3,6,4,-,2
"강서구","계",569978,13590,18290,20646,21593,30154,50895,54766,43708,46609,41197,44492,39276,43833,37324,25257,17908,11862,5826,2138,532,82,568826,13483,17986,20549,21438,29741,50487,54630,43626,46641,40788,44410,39794,43157,37716,25527,18175,11956,5914,2182,544,82
"강서구","한국인",564339,13462,18144,20578,21495,29858,50240,53952,42934,46055,40764,44005,38751,43469,37147,25182,17884,11850,5821,2135,531,82,563058,13345,17844,20484,21333,29402,49776,53819,42835,46070,40350,43918,39261,42813,37545,25456,18150,11944,5909,2179,543,82
"강서구","등록외국인",5639,128,146,68,98,296,655,814,774,554,433,487,525,364,177,75,24,12,5,3,1,0,5768,138,142,65,105,339,711,811,791,571,438,492,533,344,171,71,25,12,5,3,1,-
"구로구","계",416815,10911,13425,14572,14626,21054,31975,34565,30843,32961,30090,35242,33254,34147,28279,20052,14594,9962,4498,1383,328,54,415651,10702,13193,14443,14595,20713,31802,34453,30739,32861,29795,35208,33758,33405,28682,20137,14833,9962,4588,1400,332,50
"구로구","한국인",393929,10275,12630,14122,14287,20425,31053,32941,28477,30829,28093,32147,29489,31638,27161,19717,14512,9921,4471,1367,321,53,392405,10031,12403,13994,14224,20044,30827,32787,28312,30670,27732,32043,29879,31082,27579,19805,14752,9921,4562,1384,325,49
"구로구","등록외국인",22886,636,795,450,339,629,922,1624,2366,2132,1997,3095,3765,2509,1118,335,82,41,27,16,7,1,23246,671,790,449,371,669,975,1666,2427,2191,2063,3165,3879,2323,1103,332,81,41,26,16,7,1
"금천구","계",242076,4981,6006,6472,7041,12228,24293,23340,16962,16732,15635,20487,21222,21884,16400,10997,8147,5759,2480,809,167,34,241105,4889,5849,6375,7009,11970,23988,23431,16996,16639,15364,20401,21375,21477,16698,11068,8257,5763,2538,815,170,33
"금천구","한국인",228611,4596,5554,6176,6882,11897,23662,22336,15554,15504,14487,18566,18986,20448,15861,10799,8100,5734,2472,801,163,33,227481,4480,5404,6085,6842,11623,23351,22385,15569,15387,14157,18412,19102,20153,16172,10874,8211,5739,2530,807,166,32
"금천구","등록외국인",13465,385,452,296,159,331,631,1004,1408,1228,1148,1921,2236,1436,539,198,47,25,8,8,4,1,13624,409,445,290,167,347,637,1046,1427,1252,1207,1989,2273,1324,526,194,46,24,8,8,4,1
"영등포구","계",398290,11062,12706,11876,12161,20730,38774,41350,33048,31327,26948,31928,29889,29516,23322,16062,12179,9050,4548,1449,301,64,397800,10933,12495,11730,12068,20423,38731,41627,33128,31354,26776,31859,30329,28838,23705,16027,12316,9054,4551,1483,310,63
"영등포구","한국인",375586,10534,11993,11435,11778,19903,37555,39750,30859,29332,24956,28928,26265,27027,22178,15703,12087,9007,4514,1434,288,60,374794,10377,11800,11307,11646,19498,37515,39977,30917,29285,24702,28768,26607,26552,22583,15682,12225,9010,4518,1468,298,59
"영등포구","등록외국인",22704,528,713,441,383,827,1219,1600,2189,1995,1992,3000,3624,2489,1144,359,92,43,34,15,13,4,23006,556,695,423,422,925,1216,1650,2211,2069,2074,3091,3722,2286,1122,345,91,44,33,15,12,4
"동작구","계",390740,8741,11986,12672,14274,28759,40186,34188,27328,29129,26954,31079,27423,28077,23438,16952,13452,9572,4605,1508,350,67,389714,8579,11742,12566,14203,28494,40128,34359,27206,29034,26584,30946,27770,27629,23737,16905,13614,9602,4684,1510,364,58
"동작구","한국인",380154,8625,11850,12576,13796,25967,38220,33275,26574,28574,26531,30464,26655,27492,23191,16866,13430,9559,4591,1505,349,64,378769,8463,11608,12472,13522,25531,38194,33403,26463,28478,26143,30329,26982,27092,23490,16822,13593,9589,4670,1507,363,55
"동작구","등록외국인",10586,116,136,96,478,2792,1966,913,754,555,423,615,768,585,247,86,22,13,14,3,1,3,10945,116,134,94,681,2963,1934,956,743,556,441,617,788,537,247,83,21,13,14,3,1,3
"관악구","계",500582,7515,9917,11492,14720,38860,75708,57196,34544,33494,30562,35790,32352,33768,28154,21264,16543,11894,4951,1494,306,58,497883,7340,9668,11342,14437,38103,74907,57159,34398,33440,30033,35685,32721,33232,28531,21227,16775,11941,5055,1514,322,53
"관악구","한국인",485172,7268,9649,11336,14310,36411,72837,55386,33253,32536,29770,34662,30974,32785,27730,21111,16501,11874,4934,1486,301,58,481956,7080,9400,11193,13886,35441,71938,55349,33091,32482,29223,34530,31276,32305,28113,21080,16734,11922,5037,1506,317,53
"관악구","등록외국인",15410,247,268,156,410,2449,2871,1810,1291,958,792,1128,1378,983,424,153,42,20,17,8,5,0,15927,260,268,149,551,2662,2969,1810,1307,958,810,1155,1445,927,418,147,41,19,18,8,5,-
"서초구","계",410766,10515,17637,22902,22155,22461,28355,29607,28488,36580,36640,37412,27593,25660,22542,16247,12482,7803,3867,1383,374,63,412078,10533,17596,22868,22248,22412,28330,29664,28467,36879,36367,37715,28032,25306,22880,16365,12722,7972,3893,1398,367,64
"서초구","한국인",406404,10408,17448,22714,22032,22208,27769,29039,27928,36030,36204,37082,27365,25538,22478,16220,12469,7797,3860,1382,371,62,407664,10409,17409,22689,22117,22132,27766,29084,27879,36305,35939,37401,27807,25186,22819,16340,12706,7966,3886,1397,364,63
