Index,BMW.DE.Open,BMW.DE.High,BMW.DE.Low,BMW.DE.Close,BMW.DE.Volume,BMW.DE.Adjusted
424,53.48,54.43,52.16,54.049999,3312430,37.691505
425,55.23,55.34,53.490002,54.41,2340070,37.942547
426,55.43,55.43,53.400002,54.25,2713792,37.830975
427,54.48,56.869999,54.389999,56.349998,4129537,39.295395
428,56.5,57.66,54.720001,56.900002,4086319,39.678936
429,55.75,55.900002,53.720001,54.220001,3240227,37.810055
430,52.799999,54.009998,50.200001,50.869999,4449885,35.473946
431,50.93,51.959999,49.855,50.66,4123690,35.327507
432,52.150002,53.93,52,53.709999,3630093,37.454411
433,53.959999,54.400002,52.049999,53.299999,3012612,37.168491
434,53,53.849998,51.41,51.689999,3903642,36.045769
435,50.099998,51.240002,49.035,50.900002,4288358,35.494865
436,52.080002,52.75,50.060001,51.950001,3931718,36.227077
437,51.380001,55.349998,51.099998,55.07,5200929,38.402798
438,55.799999,57.48,55.049999,56.52,4777026,39.413952
439,57.25,57.5,56.220001,57.18,7887509,39.874191
440,55.799999,57.779999,55.52,56.200001,3224595,39.1908
441,55.900002,57.970001,55.560001,57.639999,2641362,40.194977
442,57.73,57.77,55.669998,56.09,2385333,39.114094
443,54.099998,54.380001,52.049999,52.990002,5021351,36.95232
444,53.5,53.700001,49.945,52.18,5207533,36.38747
445,51.450001,51.610001,49.73,50.799999,5306710,35.425129
446,53.209999,54.23,51.91,53.950001,4113166,37.621769
447,53.220001,54.84,52.73,53.25,2722945,37.133629
448,52.82,54.209999,52.23,52.75,3213371,36.784958
449,51.52,51.599998,48.650002,49.965,7201518,34.842854
450,46.330002,46.5,43.490002,45.040001,7053889,31.408424
451,46.279999,47.404999,45.119999,47.395,4541747,33.050674
452,48.049999,49.470001,47.330002,48.904999,4607270,34.103668
453,49.125,51.099998,48.395,50.889999,4290206,35.487892
454,51.5,53.48,49.814999,52.990002,3381225,36.95232
455,52.709999,53.98,51.939999,53.75,2918576,37.482296
456,53.5,55.450001,52.810001,54.91,3217130,38.291218
457,54.709999,55.650002,53.540001,54.82,3265116,38.228462
458,55.09,57.169998,54.560001,56.439999,3183197,39.358158
459,57.220001,58.080002,53.84,54.5,4019764,38.005314
460,53.259998,55.650002,52.09,55.080002,3980826,38.409775
461,55.59,55.959999,54.09,55.009998,2307509,38.360954
462,53.919998,55.990002,53.799999,54.110001,2983797,37.733345
463,54.400002,57.400002,53.669998,57.189999,3832887,39.881168
464,57.849998,58.439999,56.540001,57.880001,2710174,40.362335
465,57.470001,59.669998,57.189999,57.799999,3103470,40.306545
466,57.720001,59.599998,57.150002,57.810001,2602385,40.313522
467,60,61.060001,59.029999,61.060001,4088061,42.579899
