No,region,store,dates,order_items,reviews,taste_score,quantity_score,delivery_score,,order_세분화1,order_세분화2,order_세분화3,order_세분화4,order_세분화5,order_세분화6,order_세분화7,order_세분화8,,순살 여부
32118,교촌치킨,독립문점,2023년 11월 04일,"하바네로마요소스/1,허니콤보/1(사이드메뉴(웨지감자))",배달은 10분?15분? 정도 늦게 온 거 같고 맛은 그냥 허니콤보였고 닭다리가 진짜 닭다리가 아닌 거 같았어요 무슨 닭발도 아니고 이건 너무 작은 거 아닌가요ㅠㅠ 웨지감자랑 소스통이랑 크기가 비슷하네요 좀 실망이였습니다,3,1,2,,허니콤보, 사이드,,,,,,,,X
32119,교촌치킨,독립문점,2023년 11월 03일,허니순살/1,역시 가장좋아하는 허니순살,5,5,5,,허니순살,,,,,,,,,0
32120,교촌치킨,독립문점,2023년 10월 29일,"레허반반순살/1(반마리 추가(블랙시크릿순살[S]),사이드메뉴(웨지감자))","아 진짜진짜진짜











너무맛있어요 ㅋㅋㅋㅋㅋ오랜만에 꿀맛 교촌 굿굿",5,5,5,,블랙시크릿순살, 레허반반순살, 사이드,,,,,,,0
32121,교촌치킨,독립문점,2023년 10월 29일,허니오리지날（한마리）/1,"독립문점이 허니 젤 맛나요. 

근데 예전보다 양이 줄은듯 ?? 한 느낌",5,5,5,,허니오리지날,,,,,,,,,X
32122,교촌치킨,독립문점,2023년 10월 22일,레드윙/1,맛있러요!!!!!!,5,5,5,,레드윙,,,,,,,,,X
32123,교촌치킨,독립문점,2023년 10월 22일,"허니순살/1,레드디핑소스/1",역시 교촌 허니순살은 식기전에 먹어야 해요,5,5,5,,허니순살,,,,,,,,,0
32124,교촌치킨,독립문점,2023년 10월 17일,반반콤보/1,교천 반반콤보 잘 먹었습니다.,5,5,5,,반반콤보,,,,,,,,,X
32125,교촌치킨,독립문점,2023년 10월 15일,허니콤보/1(소스 및 무우(레드디핑소스)),허니콤보 항상 맛있어용,5,5,5,,허니콤보,,,,,,,,,X
32126,교촌치킨,독립문점,2023년 10월 14일,허니콤보/1(소스 및 무우(레드디핑소스)),맛있어용 허니콤보!! 또 시켜먹을게용,5,5,5,,허니콤보,,,,,,,,,X
32127,교촌치킨,독립문점,2023년 10월 13일,[기간한정]허니오리지날＋레드볶음면/1,"역시 교촌 허니 오리지널. 
독립문점이 쵝오인듯!!!",5,5,5,,허니오리지날,,,,,,,,,X
32128,교촌치킨,독립문점,2023년 10월 13일,[기간한정]허니순살＋레드볶음면/1,늘 언제나 옮다 굿,5,5,5,,허니순살,,,,,,,,,0
32129,교촌치킨,독립문점,2023년 10월 09일,[기간한정]허니콤보＋레드볶음면/1,비 조금 오는 날이었는데도 하나도 안 눅눅하고 넘 맛있어요!! 배달 라이더님이 너무 친절해서 좋았어요,5,5,5,,허니콤보,,,,,,,,,X
