word,freq
썼던,48
초기,48
퇴근,48
주라,48
생각해,48
느립니다,48
정신,48
도전의식,48
걷,48
여럿,47
다좋은,47
좋지,47
가고,47
보이지,47
포기하지,47
느껴집니다,47
표시되면,47
서바이벌,47
불편했던,47
껏다,47
실천해,47
알았는,47
자기계발,47
모여,47
운영진,47
달성시,47
어플이예,47
미라클,47
다른분,47
인증해,47
쌓,47
힘들고,47
유저들,47
알아,46
순서,46
공짜,46
활동,46
불가능,46
고칠,46
인터페이스,46
전보다,46
주일,46
어플인거,46
없는거,46
계속해,46
신경,46
은근,46
멋,46
피곤,46
실패해,46
퍼,46
미루기,46
보람,46
켜지,46
부지런해지고,46
같은거,46
엄청난,46
주제,46
일어나는게,46
운동하,45
정리,45
예정,45
크기,45
로딩화면,45
숫자,45
남기고,45
되어야,45
입력할,45
싫,45
적용,45
마,45
구조,45
그랬는,45
잦,45
문제인지,45
돌아가고,45
공식챌린지,45
중이,45
생겼네,45
싶었던,45
내약통,45
나쁜,45
챙겨먹,45
걸으면,45
개선할,45
목요일,45
감,44
해야할,44
코로나,44
약관,44
너무좋아,44
달력,44
바,44
되었던,44
포함해,44
재시작,44
사라져,44
고쳐주세,44
깔,44
않을까,44
사용하며,44
응대,44
얻었습니다,44
포인트씩,44
주는거,44
오류창,44
참여하지,44
뚜껑,44
책임감,44
업무,44
수고하세요,44
일어나는,44
게이지,44
불만,44
중앙,44
약속,44
어플덕,44
찾아보다,44
아니라면,44
잘만,44
땜,44
패키지,44
완수,44
누를때,44
기르는,44
즐거운,43
내역,43
됐으면,43
지속,43
동일,43
끝나고,43
딱,43
건의,43
기기,43
걸었는,43
받았는,43
저같,43
누르기,43
빠르고,43
광고비,43
뜰,43
기능인,43
추천드려,43
받으려면,43
사진찍고,43
지인들한테,43
빠져,43
지키게,43
선택할,42
신체,42
행복,42
나오네,42
잘사용,42
프로젝트,42
받는,42
한개,42
했으면,42
자리,42
ㅠㅠㅠ,42
삼성,42
바꿔,42
있을까,42
길게,42
문제인가,42
불편할,42
띄우,42
써보,42
커지면,42
광고나,42
끌,42
문제임,42
길어지니까,42
떨게,42
주니깐,42
개선해주,42
실천하며,42
떨어지네,42
개선되었는,42
납치당,42
반면,42
클릭하게,42
끊겨,42
스킵,42
안써봤,42
되어갈,42
찍는게,42
돈걸고,42
인간,42
일기오늘도만보걷기미션,42
미리,41
어려움,41
좋았는,41
기구,41
몸무게,41
자잘,41
좋겠,41
이메일,41
진심,41
내게,41
자기관리,41
지나면,41
해주시면,41
해봤는,41
텍스트,41
올리면,41
끄고,41
사람들끼리,41
바뀌고,41
놓쳐,41
고객,41
꺼집니다,41
절,41
기상미션,41
주는,41
발견,41
확인할,40
나오지,40
수준,40
무한로딩,40
키,40
광고보고,40
있구요,40
나만,40
주세요,40
동시,40
효과적인,40
봤는,40
있구,40
오류인가,40
오랫,40
읽고,40
찍고,40
재밌고,40
모르겠고,40
푸시,40
거니까,40
고마운,40
랜선대회,40
게으름,40
신청해,40
성공해,40
신기,40
챌린지들,40
체계적,39
있긴,39
바꿀,39
어렵,39
홈트레이닝,39
하시,39
월요일,39
하라,39
운동습관,39
천천,39
재생,39
적절,39
잘되어,39
단,39
됐어요,39
어차피,39
찍으면,39
인지,39
남겨,39
비공개,39
맞나,39
올해,39
발생했습니다,39
일상생활,39
관심,39
못할,39
시작한지,39
앱실행,39
확인해,39
못했,39
살고,39
주말,39
받았습니다,39
느껴져,39
원금,39
기상인증,39
자연스럽게,38
많음,38
모르겠습니다,38
걱정,38
발생했다고,38
투자,38
못해,38
달리,38
뜨면,38
남자,38
괜찮은,38
없어요,38
앱임,38
간단하게,38
칭찬,38
라면,38
요ㅠㅠ,38
했는지,38
구매해,38
번거로움,38
많던,38
떨어집니다,38
프로,38
확대,38
대처,38
길러주,38
안되어,38
세워,38
짧아,38
않으면,38
스터디,38
ㅋㅋㅋㅋㅋ,38
밤,38
성취,38
다행,38
생겼어,38
꼬박,38
일들,38
어렵지,38
깔았는데,38
플레이오프,38
건강관리,37
지속적,37
안정성,37
구글,37
두번,37
컨텐츠,37
별로,37
ㅡ,37
많네,37
결과,37
간편하게,37
열심히,37
웬만,37
과제,37
별개,37
모아보기,37
표시,37
깔끔해,37
눌렀,37
이거저거,37
형식,37
심하게,37
불편한거,37
본,37
난감,37
약해,37
정해,37
액수,37
조건,37
열려,37
챙겨,37
준,37
바꾸기,37
저에겐,37
뿜뿜,37
소액,37
당,37
참가자,37
할수록,37
돌려받,37
지키고,37
스타일,37
골,36
나오면,36
웹,36
그렇고,36
하려,36
올,36
모르,36
갈,36
볼수,36
해주면,36
쓸수,36
않다,36
찰나,36
적지,36
써,36
핑계,36
채우면,36
생,36
잦음,36
소멸,36
전액,36
급하게,36
답답해,36
